SITE_URL,ASSET_URI,CURRENT_BID,CLOSING_DATE_UTC,LOCATION,MAP_URL,MAKE/BRAND,MODEL,YEAR,MILES,VIN/SERIAL,LOT#,CONDITION,INVENTORY_ID,SELLER,ASSET_CONTACT,EMAIL,PHONE,ITEM_LOCATION,ACCOUNT_TYPE,TITLE_RESTRICTION,KILOMETERS
http://govdeals.com,/asset/212/96,2000.0,2024-12-18T14:45:00Z,"Neptune Beach, Florida, USA","http://maps.google.com/maps?q=30.324204,+-81.396262+(116 1st St)",Ford,Taurus,2015,"129,311.00 (Accurate?: Yes)",1FAHP2MK3FG142399,96-212,Used/See Description,1215,,Catherine Ponson,clerk@nbfl.us,+19042702400,"116 1st St, , Neptune Beach, Florida, 32266-6140, USA",Government,,
http://govdeals.com,/asset/84/25867,250.0,2024-12-18T14:45:00Z,"Buford, Georgia, USA","http://maps.google.com/maps?q=34.135008,+-83.975376+(3156 Buford Hwy)",Ford,Taurus,2015,"130,204.00 (Accurate?: )",1FAHP2MK0FG184657,25867-84,Used/See Description,,,,,,"3156 Buford Hwy, Buford, Georgia, 30518-6069, USA",Government,,
http://govdeals.com,/asset/280/8517,1500.0,2024-12-18T14:45:00Z,"Reedley, California, USA","http://maps.google.com/maps?q=36.596908,+-119.440765+(1701 W Huntsman Ave)",Ford,Taurus,2013,"155,866.00 (Accurate?: Yes)",1FAHP2D88DG136938,8517-280,Used/See Description,665,"Reedley, CA",,,,"1701 W Huntsman Ave, Reedley, California, 93654, USA",Government,,
http://govdeals.com,/asset/2019/1207,750.0,2024-12-18T14:45:00Z,"Marietta, Georgia, USA","http://maps.google.com/maps?q=33.960154,+-84.528992+(725 N Marietta Pkwy NE)",Ford,Interceptor Taurus,2016,"107,817.00 (Accurate?: Yes)",1FAHP2MT0GG133640,1207-2019,Used/See Description,5470,"Marietta, GA",Dawn Kil,DKil@mariettaga.gov,+17707945696,"725 N Marietta Pkwy NE, Marietta, Georgia, 30060-1530, USA",Government,,
http://govdeals.com,/asset/1237/19236,2075.0,2024-12-18T14:45:00Z,"Topeka, Kansas, USA","http://maps.google.com/maps?q=39.066895,+-95.712891+(2830 SW Kanza Dr)",Ford,Taurus,2017,"92,207.00 (Accurate?: Yes)",1FAHP2D80HG105625,19236-1237,Used/See Description,S-25-8136,State of Kansas,,,,"2830 SW Kanza Dr, Topeka, Kansas, 66606-2452, USA",Government,Clean Title,
http://govdeals.com,/asset/681/7193,1000.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2014,"124,870.00 (Accurate?: Yes)",1FAHP2L8XEG163044,7193-681,Used/See Description,14038,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/213/22193,4140.0,2024-12-18T14:45:00Z,"Saint Augustine, Florida, USA","http://maps.google.com/maps?q=29.940184,+-81.337633+(4015 Lewis Speedway)",Ford,Taurus,2016,"94,595.00 (Accurate?: Yes)",1FAHP2MK9GG109991,22193-213,Used/See Description,649,"St Johns County Sheriff's Office, FL",,,,"4015 Lewis Speedway, Saint Augustine, Florida, 32084-8611, USA",Government,Clean Title,
http://govdeals.com,/asset/211/96,2000.0,2024-12-18T14:45:00Z,"Neptune Beach, Florida, USA","http://maps.google.com/maps?q=30.324204,+-81.396262+(116 1st St)",Ford,Taurus,2015,"86,066.00 (Accurate?: Yes)",1FAHP2MK1FG142398,96-211,Used/See Description,1315,,Catherine Ponson,clerk@nbfl.us,+19042702400,"116 1st St, , Neptune Beach, Florida, 32266-6140, USA",Government,,
http://govdeals.com,/asset/8018/5389,100.0,2024-12-18T14:45:00Z,"Jacksonville, Florida, USA","http://maps.google.com/maps?q=30.337936,+-81.705529+(1096 North McDuff Ave )",Ford,Taurus,2017,"151,271.00 (Accurate?: Unknown)",1FAHP2MK0HG118984,5389-8018,Used/See Description,8018 303866 2405 51102,,Rodney Booker,rbooker@coj.net,+19042556638,"1096 North McDuff Ave , Jacksonville, Florida, 32254-2031, USA",Government,Clean Title,
http://govdeals.com,/asset/1809/404,1500.0,2024-12-18T14:45:00Z,"Jacksonville, North Carolina, USA","http://maps.google.com/maps?q=34.795171,+-77.535743+(411 Meadowview Rd)",Ford,Taurus,2014,"156,685.00 (Accurate?: )",1FAHP2MK7EG135129,404-1809,Used/See Description,24905,,Katie Bruce,Kathryn_Bruce@onslowcountync.gov,+19104551750,"411 Meadowview Rd, Jacksonville, North Carolina, 28540-7313, USA",Government,,
http://govdeals.com,/asset/15006/7167,350.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2015,"144,072.00 (Accurate?: Yes)",1FAHP2L84JG128039,7167-15006,Used/See Description,5795A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/686/7193,550.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2013,"135,311.00 (Accurate?: Yes)",1FAHP2L8XDG130592,7193-686,Used/See Description,13041,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/365/23002,330.0,2024-12-18T14:45:00Z,"Cookeville, Tennessee, USA","http://maps.google.com/maps?q=36.192221,+-85.479396+(2301 Fisk Rd)",Ford,Taurus,2003,"191,700.00 (Accurate?: Unknown)",1FAHP56S73G277539,23002-365,Used/See Description,,,Justin Fredrico,jturner.das@gmail.com,+19317393271,"2301 Fisk Rd, Cookeville, Tennessee, 38506-5006, USA",Commercial,Clean Title,
http://govdeals.com,/asset/887/6355,250.0,2024-12-18T14:45:00Z,"Sinton, Texas, USA","http://maps.google.com/maps?q=28.046444,+-97.510663+(313 N Rachal St)",Ford,Taurus,2013,"144,856.00 (Accurate?: Yes)",1FAHP2MK7DG212855,6355-887,Used/See Description,Lot 57 2013 Ford Taurus,,,,,"313 N Rachal St, Sinton, Texas, 78387-2617, USA",Government,Clean Title,
http://govdeals.com,/asset/31906/685,1001.0,2024-12-18T14:45:00Z,"West Columbia, South Carolina, USA","http://maps.google.com/maps?q=33.950918,+-81.110915+(1441 Boston Ave )",Ford,Taurus,2015,"128,125.00 (Accurate?: Yes)",1FAHP2MKXFG173231,685-31906,Used/See Description,254709003 (School Fence),,Bob Carson,bob.carson@admin.sc.gov,+18038966880,"1441 Boston Ave , West Columbia, South Carolina, 29170-2137, USA",Government,Clean Title,
http://govdeals.com,/asset/683/7193,575.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2013,"100,803.00 (Accurate?: Yes)",1FAHP2L8XDG123464,7193-683,Used/See Description,12069,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/1808/404,1800.0,2024-12-18T14:45:00Z,"Jacksonville, North Carolina, USA","http://maps.google.com/maps?q=34.795171,+-77.535743+(411 Meadowview Rd)",Ford,Taurus,2014,"149,034.00 (Accurate?: )",1FAHP2MK8EG135141,404-1808,Used/See Description,24895,,Katie Bruce,Kathryn_Bruce@onslowcountync.gov,+19104551750,"411 Meadowview Rd, Jacksonville, North Carolina, 28540-7313, USA",Government,,
http://govdeals.com,/asset/125/6423,1100.0,2024-12-18T14:45:00Z,"Chelsea, Massachusetts, USA","http://maps.google.com/maps?q=42.393253,+-71.033311+(500 Broadway)",Ford,Taurus,2012,"69,403.00 (Accurate?: Yes)",1FAHP2DW9CG111334,6423-125,Used/See Description,,"Chelsea, MA",Dragica Ivanis,divanis@chelseama.gov,+16174664220,"500 Broadway, Chelsea, Massachusetts, 02150-2948, USA",Government,Clean Title,
http://govdeals.com,/asset/214/96,1000.0,2024-12-18T14:45:00Z,"Neptune Beach, Florida, USA","http://maps.google.com/maps?q=30.324204,+-81.396262+(116 1st St)",Ford,Taurus,2013,"106,595.00 (Accurate?: Yes)",1FAHP2L85DG134520,96-214,Used/See Description,1113,,Catherine Ponson,clerk@nbfl.us,+19042702400,"116 1st St, , Neptune Beach, Florida, 32266-6140, USA",Government,,
http://govdeals.com,/asset/455/10563,2000.0,2024-12-18T14:45:00Z,"Marion, Iowa, USA","http://maps.google.com/maps?q=42.027096,+-91.573765+(195 35th St)",Ford,Taurus,2013,"129,646.00 (Accurate?: Yes)",1FAHP2M82DG124235,10563-455,Used/See Description,M-5,"Marion, IA",,,,"195 35th St, Marion, Iowa, 52302-3811, USA",Government,,
http://govdeals.com,/asset/15016/7167,10.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2015,"164,253.00 (Accurate?: Yes)",1FAHP2L88FG203591,7167-15016,Used/See Description,3635A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/32468/685,1170.4,2024-12-18T14:45:00Z,"West Columbia, South Carolina, USA","http://maps.google.com/maps?q=33.950918,+-81.110915+(1441 Boston Ave )",Ford,Taurus,2013,"130,466.00 (Accurate?: Yes)",1FAHP2M81DG198293,685-32468,Used/See Description,257065001 (School Fence),,Bob Carson,bob.carson@admin.sc.gov,+18038966880,"1441 Boston Ave , West Columbia, South Carolina, 29170-2137, USA",Government,Clean Title,
http://govdeals.com,/asset/1688/5858,2247.22,2024-12-18T14:45:00Z,"West Chicago, Illinois, USA","http://maps.google.com/maps?q=41.8446,+-88.19006+(29W222 Mack Rd)",Ford,Taurus,2015,"115,878.00 (Accurate?: Yes)",1FAHP2L81FG128989,5858-1688,Used/See Description,493,,Fleet Management,hteope@dupageforest.org,+16305807100,"29W222 Mack Rd, West Chicago, Illinois, 60185-4436, USA",Government,Clean Title,
http://govdeals.com,/asset/682/7193,1125.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2013,"80,383.00 (Accurate?: Yes)",1FAHP2L86DG123445,7193-682,Used/See Description,12050,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/8015/5389,118.0,2024-12-18T14:45:00Z,"Jacksonville, Florida, USA","http://maps.google.com/maps?q=30.337936,+-81.705529+(1096 North McDuff Ave )",Ford,Taurus,2017,"118,936.00 (Accurate?: Unknown)",1FAHP2MKXHG122752,5389-8015,Used/See Description,8015 303863 2080 51102,,Rodney Booker,rbooker@coj.net,+19042556638,"1096 North McDuff Ave , Jacksonville, Florida, 32254-2031, USA",Government,Clean Title,
http://govdeals.com,/asset/14998/7167,10.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2015,"105,885.00 (Accurate?: Yes)",1FAHP2L87FG203551,7167-14998,Used/See Description,3653A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/32452/685,741.0,2024-12-18T14:45:00Z,"West Columbia, South Carolina, USA","http://maps.google.com/maps?q=33.950918,+-81.110915+(1441 Boston Ave )",Ford,Taurus,2017,"143,489.00 (Accurate?: Yes)",1FAHP2MKXHG113601,685-32452,Used/See Description,257065005 (School Fence),,Bob Carson,bob.carson@admin.sc.gov,+18038966880,"1441 Boston Ave , West Columbia, South Carolina, 29170-2137, USA",Government,Clean Title,
http://govdeals.com,/asset/1807/404,1500.0,2024-12-18T14:45:00Z,"Jacksonville, North Carolina, USA","http://maps.google.com/maps?q=34.795171,+-77.535743+(411 Meadowview Rd)",Ford,Taurus,2014,"148,712.00 (Accurate?: )",1FAHP2MK5EG135145,404-1807,Used/See Description,24903,,Katie Bruce,Kathryn_Bruce@onslowcountync.gov,+19104551750,"411 Meadowview Rd, Jacksonville, North Carolina, 28540-7313, USA",Government,,
http://govdeals.com,/asset/15015/7167,12.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2014,"134,615.00 (Accurate?: Yes)",1FAHP2L85EG186344,7167-15015,Used/See Description,3111A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
