SITE_URL,ASSET_URI,CURRENT_BID,CLOSING_DATE_UTC,VIN/SERIAL,YEAR,MAKE/BRAND,MODEL,PHONE,LOCATION,ACCOUNT_TYPE,LOT#,SELLER,ITEM_LOCATION,MAP_URL,ASSET_CONTACT,TITLE_RESTRICTION,INVENTORY_ID,MILES,EMAIL,CONDITION,KILOMETERS
http://govdeals.com,/asset/2/27799,851.0,2024-12-18T14:45:00Z,1FAHP3FNXBW168530,2011,Ford,Focus,,"South Dennis, Massachusetts, USA",Government,27799-2,"Dennis, MA","120 Theophilis Smith Rd, South Dennis, Massachusetts, 02660-3413, USA","http://maps.google.com/maps?q=41.692281,+-70.143374+(120 Theophilis Smith Rd)",,Clean Title,2,"73,931.00 (Accurate?: )",,Used/See Description,
http://govdeals.com,/asset/1230/19236,1050.0,2024-12-18T14:45:00Z,1FAHP3F27CL435339,2012,Ford,Focus,,"Topeka, Kansas, USA",Government,19236-1230,State of Kansas,"2830 SW Kanza Dr, Topeka, Kansas, 66606-2452, USA","http://maps.google.com/maps?q=39.066895,+-95.712891+(2830 SW Kanza Dr)",,Clean Title,S-25-8101,"121,661.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/1225/19236,1025.0,2024-12-18T14:45:00Z,1FADP3F29EL266023,2014,Ford,Focus,,"Topeka, Kansas, USA",Government,19236-1225,State of Kansas,"2830 SW Kanza Dr, Topeka, Kansas, 66606-2452, USA","http://maps.google.com/maps?q=39.066895,+-95.712891+(2830 SW Kanza Dr)",,Clean Title,S-25-8037,"149,561.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/1232/19236,3025.0,2024-12-18T14:45:00Z,1FADP3F23EL124508,2014,Ford,Focus,,"Topeka, Kansas, USA",Government,19236-1232,State of Kansas,"2830 SW Kanza Dr, Topeka, Kansas, 66606-2452, USA","http://maps.google.com/maps?q=39.066895,+-95.712891+(2830 SW Kanza Dr)",,Clean Title,S-25-8103,"112,591.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/329/23002,625.0,2024-12-18T14:45:00Z,1FADP3N23EL422686,2014,Ford,Focus,+19317393271,"Cookeville, Tennessee, USA",Commercial,23002-329,,"2301 Fisk Rd, Cookeville, Tennessee, 38506-5006, USA","http://maps.google.com/maps?q=36.192221,+-85.479396+(2301 Fisk Rd)",Justin Fredrico,Clean Title,,"72,405.00 (Accurate?: Yes)",jturner.das@gmail.com,Used/See Description,
http://govdeals.com,/asset/15348/10337,1010.0,2024-12-18T14:45:00Z,1FAHP34N37W177614,2007,Ford,Focus,,"Columbus, Ohio, USA",Government,10337-15348,"State of Ohio, OH","4200 Surface Rd, Columbus, Ohio, 43228-1313, USA","http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)",,Clean Title,25V248286/A-02,"84,621.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/684/20024,701.0,2024-12-18T14:45:00Z,1FAFP34N05W283815,2005,Ford,Focus,,"Santa Fe, New Mexico, USA",Government,20024-684,"State of New Mexico – Storefront, NM","1990 Siringo Rd, Santa Fe, New Mexico, 87505-5441, USA","http://maps.google.com/maps?q=35.653168,+-105.975486+(1990 Siringo Rd)",,Clean Title,G61643,"132,843.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/3/27799,1000.0,2024-12-18T14:45:00Z,1FAHP3FN3BW168529,2011,Ford,Focus,,"South Dennis, Massachusetts, USA",Government,27799-3,"Dennis, MA","120 Theophilis Smith Rd, South Dennis, Massachusetts, 02660-3413, USA","http://maps.google.com/maps?q=41.692281,+-70.143374+(120 Theophilis Smith Rd)",,Clean Title,3,"79,056.00 (Accurate?: )",,Used/See Description,
http://govdeals.com,/asset/651/2695,350.0,2024-12-18T14:45:00Z,1FADP3E29DL272338,2013,Ford,Focus,+12013302080,"Secaucus, New Jersey, USA",Government,2695-651,,"370 Secaucus Rd, Secaucus, New Jersey, 07094-2120, USA","http://maps.google.com/maps?q=40.774274,+-74.059353+(370 Secaucus Rd)",Jason Leppin,Clean Title,651,"125,934.00 (Accurate?: Yes)",jleppin@secaucus.net,Used/See Description,
http://govdeals.com,/asset/1244/19236,750.0,2024-12-18T14:45:00Z,1FAHP35N88W185546,2008,Ford,Focus,,"Topeka, Kansas, USA",Government,19236-1244,State of Kansas,"2830 SW Kanza Dr, Topeka, Kansas, 66606-2452, USA","http://maps.google.com/maps?q=39.066895,+-95.712891+(2830 SW Kanza Dr)",,Clean Title,S-25-8225,"120,684.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/13847/12157,1500.0,2024-12-18T14:45:00Z,1FADP3F20EL383070,2014,Ford,Focus,,"Lincoln, Nebraska, USA",Government,12157-13847,State of Nebraska,"5001 S 14th St, Lincoln, Nebraska, 68512-1248, USA","http://maps.google.com/maps?q=40.762851,+-96.701752+(5001 S 14th St)",,,6510230102,"77,635.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/13848/12157,1500.0,2024-12-18T14:45:00Z,1FADP3F28GL392361,2016,Ford,Focus,,"Lincoln, Nebraska, USA",Government,12157-13848,State of Nebraska,"5001 S 14th St, Lincoln, Nebraska, 68512-1248, USA","http://maps.google.com/maps?q=40.762851,+-96.701752+(5001 S 14th St)",,,6510240014,"65,300.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/8442/5859,210.0,2024-12-18T14:45:00Z,1FAHP3FNXBW168558,2011,Ford,Focus,,"Salem, Oregon, USA",Government,5859-8442,State of Oregon,"1655 Salem Industrial Dr NE, Salem, Oregon, 97301-0375, USA","http://maps.google.com/maps?q=44.971538,+-123.011183+(1655 Salem Industrial Dr NE)",,Clean Title,272682,"129,271.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/2288/455,20.0,2024-12-18T14:45:00Z,3FAFP37N45R138775,2005,Ford,Focus,+14234835898,"Johnson City, Tennessee, USA",Government,455-2288,"Johnson City, TN","333 E Maple St, , Johnson City, Tennessee, 37601-5803, USA","http://maps.google.com/maps?q=36.315374,+-82.344727+(333 E Maple St)",Donna Tallmadge,Yes: No Title,18,,dtallmadge@johnsoncitytn.org,Used/See Description,
http://govdeals.com,/asset/8007/4740,1000.0,2024-12-18T14:45:00Z,1FADP3F23FL376115,2015,Ford,Focus,+13523937876,"Gainesville, Florida, USA",Government,4740-8007,,"405 NW 39th Ave, Bldg C, Gainesville, Florida, 32609-1738, USA","http://maps.google.com/maps?q=29.688431,+-82.329587+(405 NW 39th Ave)",Kathryn Alford,,S37-5001-450,,alfordkd@cityofgainesville.org,Used/See Description,
http://govdeals.com,/asset/364/25530,500.0,2024-12-18T14:45:00Z,1FADP3FE2GL331999,2016,Ford,Focus,,"Riverside, California, USA",Government,25530-364,"San Diego County Fleet Services, CA","Offsite-call for address 9092030548, , Riverside, California, 92123, USA","http://maps.google.com/maps?f=q&hl=en&q=Offsite-call for address 9092030548,+Riverside,+CA+92123",,Clean Title,G22392-16,"76,475.00 (Accurate?: )",,Used/See Description,
http://govdeals.com,/asset/358/25530,500.0,2024-12-18T14:45:00Z,1FADP3FE7GL331996,2016,Ford,Focus,,"Riverside, California, USA",Government,25530-358,"San Diego County Fleet Services, CA","Offsite-call for address 9092030548, , Riverside, California, 92123, USA","http://maps.google.com/maps?f=q&hl=en&q=Offsite-call for address 9092030548,+Riverside,+CA+92123",,Clean Title,G22375-16,"72,778.00 (Accurate?: )",,Used/See Description,
http://govdeals.com,/asset/720/5325,4550.0,2024-12-18T14:45:00Z,1FADP3K28FL320399,2015,Ford,Focus,,"Oakville, Ontario, CAN",Government,5325-720,"Oakville, Town of, ON","1140 South Service Rd W, , Oakville, Ontario, L6L 5T7, CAN","http://maps.google.com/maps?q=43.434858,+-79.707252+(1140 South Service Rd W)",,,125905-15,,,Used/See Description,"113,457.00 (Accurate?: Yes)"
http://govdeals.com,/asset/2178/2783,2005.0,2024-12-18T14:45:00Z,1FADP3F25HL233301,2017,Ford,Focus,,"Ames, Iowa, USA",Government,2783-2178,,"921 S 4th St, Ames, Iowa, 50010-6976, USA","http://maps.google.com/maps?q=42.01847,+-93.62227+(921 S 4th St)",,,A34534,"73,624.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/24/26900,4200.0,2024-12-18T14:45:00Z,1FADP3K25EL296559,2014,Ford,Focus Se,,"Hudson, Florida, USA",Commercial,26900-24,,"7109 Elizabeth Ave, Hudson, Florida, 34667-2046, USA","http://maps.google.com/maps?q=28.334778,+-82.697159+(7109 Elizabeth Ave)",,Clean Title,,"88,604.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/31/27849,1900.0,2024-12-18T14:45:00Z,1FAHP34N46W137413,2006,Ford,Focus,,"Boynton Beach, Florida, USA",Commercial,27849-31,,"724 N Federal Hwy, Boynton Beach, Florida, 33435-3910, USA","http://maps.google.com/maps?q=26.532708,+-80.057833+(724 N Federal Hwy)",,,16053,"150,899.00 (Accurate?: Yes)",,Used/See Description,
http://govdeals.com,/asset/150/9289,110.0,2024-12-18T14:45:00Z,1FADP3F24FL339879,2015,Ford,Focus,,"Warren, Ohio, USA",Government,9289-150,"Warren, OH","141 South St SE, , Warren, Ohio, 44483-5747, USA","http://maps.google.com/maps?q=41.2342,+-80.81697+(141 South St SE)",,Yes: Salvage Title,24-015,"165,560.00 (Accurate?: Unknown)",,Used/See Description,
http://govdeals.com,/asset/126/7467,525.0,2024-12-18T14:45:00Z,1FADP3R4XHL239480,2017,Ford,Focus,+15415743622,"Newport, Oregon, USA",Government,7467-126,"Central Lincoln Peoples Utility District, OR","7501 NE Avery St, Newport, Oregon, 97365-9558, USA","http://maps.google.com/maps?q=44.692349,+-124.059978+(7501 NE Avery St)",Bryan McKinney,,Unit #EV31,"34,572.00 (Accurate?: Yes)",bmckinney@cencoast.com,Used/See Description,
http://govdeals.com,/asset/359/25530,625.0,2024-12-18T14:45:00Z,1FADP3FE5GL332001,2016,Ford,Focus,,"Riverside, California, USA",Government,25530-359,"San Diego County Fleet Services, CA","Offsite-call for address 9092030548, , Riverside, California, 92123, USA","http://maps.google.com/maps?f=q&hl=en&q=Offsite-call for address 9092030548,+Riverside,+CA+92123",,Clean Title,G22377-16,"69,634.00 (Accurate?: )",,Used/See Description,
