SITE_URL,ASSET_URI,CURRENT_BID,CLOSING_DATE_UTC,VIN/SERIAL,YEAR,MAKE/BRAND,MODEL,LOT#,MILES,KILOMETERS,LOCATION,CONDITION,INVENTORY_ID,ACCOUNT_TYPE,TITLE_RESTRICTION,MAP_URL,SELLER,ITEM_LOCATION
http://govdeals.com,/asset/8399/5859,3075.0,2024-12-18T14:45:00Z,3FA6P0G79DR263012,2013,Ford,Fusion,5859-8399,"128,651.00 (Accurate?: Yes)",,"Salem, Oregon, USA",Used/See Description,272725,Government,Clean Title,"http://maps.google.com/maps?q=44.971538,+-123.011183+(1655 Salem Industrial Dr NE)",State of Oregon,"1655 Salem Industrial Dr NE, Salem, Oregon, 97301-0375, USA"
http://govdeals.com,/asset/15311/10337,4549.0,2024-12-18T14:45:00Z,3FA6P0G72GR368351,2016,Ford,Fusion,10337-15311,"96,201.00 (Accurate?: Yes)",,"Columbus, Ohio, USA",Used/See Description,25V259277/C-18,Government,Clean Title,"http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)","State of Ohio, OH","4200 Surface Rd, Columbus, Ohio, 43228-1313, USA"
http://govdeals.com,/asset/304/23691,2040.0,2024-12-18T14:45:00Z,3FA6P0HD0FR286783,2015,Ford,Fusion,23691-304,"116,259.00 (Accurate?: Yes)",,"Peach Bottom, Pennsylvania, USA",Used/See Description,Lancaster tow away,Commercial,Clean Title,"http://maps.google.com/maps?q=39.726859,+-76.154584+(2672 Robert Fulton Hwy)",,"2672 Robert Fulton Hwy, Peach Bottom, Pennsylvania, 17563-9749, USA"
http://govdeals.com,/asset/8396/5859,2802.0,2024-12-18T14:45:00Z,3FAHP0HA3CR380814,2012,Ford,Fusion,5859-8396,"126,442.00 (Accurate?: Yes)",,"Salem, Oregon, USA",Used/See Description,272721,Government,Clean Title,"http://maps.google.com/maps?q=44.971538,+-123.011183+(1655 Salem Industrial Dr NE)",State of Oregon,"1655 Salem Industrial Dr NE, Salem, Oregon, 97301-0375, USA"
http://govdeals.com,/asset/565/10615,1725.0,2024-12-18T14:45:00Z,3FA6P0UUXER275682,2014,Ford,Fusion,10615-565,"158,599.00 (Accurate?: Yes)",,"Blue Island, Illinois, USA",Used/See Description,14202,Government,Clean Title,"http://maps.google.com/maps?q=41.667207,+-87.673016+(2067 W 123rd St)","Metra Commuter Railroad, IL","2067 W 123rd St, Blue Island, Illinois, 60406-1458, USA"
http://govdeals.com,/asset/133/2361,1076.0,2024-12-18T14:45:00Z,3FAHP07147R169791,2007,Ford,Fusion,2361-133,"87,070.00 (Accurate?: Yes)",,"Duluth, Georgia, USA",Used/See Description,C5821,Government,,"http://maps.google.com/maps?q=34.04765,+-84.131304+(10925 Rogers Cir)","Johns Creek, GA","10925 Rogers Cir, Duluth, Georgia, 30097-1930, USA"
http://govdeals.com,/asset/540/26960,1525.0,2024-12-18T14:45:00Z,3FA6P0H76GR287819,2016,Ford,Fusion,26960-540,"74,576.00 (Accurate?: Yes)",,"Jacksonville, Florida, USA",Used/See Description,,Commercial,Clean Title,"http://maps.google.com/maps?q=30.2967,+-81.610595+(5321 Fairmont St)",,"5321 Fairmont St, Jacksonville, Florida, 32207-5027, USA"
http://govdeals.com,/asset/71/27091,300.0,2024-12-18T14:45:00Z,3FAHP08Z39R174763,2009,Ford,Fusion,27091-71,"204,301.00 (Accurate?: Yes)",,"Clinton, Maryland, USA",Used/See Description,4894,Commercial,Clean Title,"http://maps.google.com/maps?q=38.781579,+-76.894572+(7827 Branch Ave)",,"7827 Branch Ave, Clinton, Maryland, 20735-1624, USA"
http://govdeals.com,/asset/15355/10337,825.0,2024-12-18T14:45:00Z,3FAHP0HG5BR287537,2011,Ford,Fusion,10337-15355,"165,677.00 (Accurate?: Yes)",,"Columbus, Ohio, USA",Used/See Description,25V257116/C-06,Government,Clean Title,"http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)","State of Ohio, OH","4200 Surface Rd, Columbus, Ohio, 43228-1313, USA"
http://govdeals.com,/asset/15356/10337,825.0,2024-12-18T14:45:00Z,3FAHP0HG8BR287547,2011,Ford,Fusion,10337-15356,"158,952.00 (Accurate?: Yes)",,"Columbus, Ohio, USA",Used/See Description,25V257180/C-07,Government,Clean Title,"http://maps.google.com/maps?q=39.95633,+-83.115778+(4200 Surface Rd)","State of Ohio, OH","4200 Surface Rd, Columbus, Ohio, 43228-1313, USA"
